zona_leste,zona_norte,zona_oeste,zona_sul,quartos,areas,precos
0,0,0,1,1.0986122886681098,4.51085950651685,7.901377353792616
0,0,0,1,1.0986122886681098,4.454347296253507,8.216358332386156
1,0,0,0,1.0986122886681098,4.127134385045092,7.473637108496206
0,0,0,1,1.3862943611198906,4.532599493153256,8.25608813381491
0,1,0,0,0.6931471805599453,3.58351893845611,7.048386408721883
0,1,0,0,1.0986122886681098,4.7535901911063645,8.38958706681109
0,1,0,0,0.6931471805599453,3.8918202981106265,8.160803920954665
1,0,0,0,0.6931471805599453,4.04305126783455,7.438971592395862
0,1,0,0,1.3862943611198906,5.081404364984463,7.629975707027789
1,0,0,0,1.0986122886681098,5.198497031265826,13.017005083966255
1,0,0,0,1.0986122886681098,6.278521424165844,9.210440366976517
0,1,0,0,1.3862943611198906,4.634728988229636,7.523481312573497
0,0,0,1,1.0986122886681098,4.1588830833596715,7.576097340623111
0,1,0,0,1.0986122886681098,6.846943139585379,8.38958706681109
0,0,1,0,1.3862943611198906,6.111467339502679,9.105090961257085
0,1,0,0,0.6931471805599453,3.258096538021482,7.170888478512505
0,1,0,0,0.6931471805599453,3.258096538021482,13.76421831620775
0,0,1,0,0.6931471805599453,3.4657359027997265,7.937731775260109
0,0,0,1,0.6931471805599453,3.5263605246161616,8.160803920954665
0,0,1,0,1.0986122886681098,4.007333185232471,7.823245690685523
1,0,0,0,1.0986122886681098,5.860786223465865,8.839421607620602
0,0,1,0,1.0986122886681098,3.8918202981106265,7.24422751560335
0,1,0,0,1.6094379124341003,5.209486152841421,8.268988209506656
1,0,0,0,0.6931471805599453,3.4339872044851463,6.90875477931522
1,0,0,0,1.0986122886681098,4.204692619390966,7.696667081526462
0,0,0,1,1.3862943611198906,4.820281565605037,8.101980731853192
1,0,0,0,1.0986122886681098,4.2626798770413155,7.650168700845001
0,1,0,0,0.6931471805599453,3.828641396489095,6.90875477931522
0,0,0,1,1.0986122886681098,4.418840607796598,8.497194544909547
0,0,0,1,1.3862943611198906,4.700480365792417,8.364275084991524
1,0,0,0,1.3862943611198906,4.2626798770413155,6.90875477931522
0,1,0,0,0.6931471805599453,3.6635616461296463,13.76421831620775
1,0,0,0,1.0986122886681098,3.9318256327243257,7.208600337960199
0,0,0,1,1.0986122886681098,4.605170185988092,8.131824785007195
0,0,0,1,1.3862943611198906,4.418840607796598,7.7057128238944275
0,1,0,0,0.6931471805599453,3.912023005428146,13.710151153416941
0,0,1,0,1.0986122886681098,5.442417710521793,8.922791623969637
0,1,0,0,1.3862943611198906,4.948759890378168,7.976251943745623
0,1,0,0,0.6931471805599453,3.7612001156935624,7.186144304522325
